iter	Passed	Remaining
0	32	3168
1	66	3237
2	97	3148
3	132	3185
4	165	3136
5	198	3110
6	230	3064
7	262	3023
8	293	2963
9	331	2979
10	369	2991
11	399	2928
12	431	2889
13	466	2863
14	496	2815
15	526	2763
16	559	2734
17	590	2691
18	622	2651
19	657	2629
20	690	2597
21	720	2555
22	752	2518
23	785	2485
24	816	2449
25	866	2467
26	913	2469
27	961	2471
28	1001	2453
29	1040	2428
30	1074	2391
31	1106	2350
32	1135	2306
33	1168	2267
34	1196	2221
35	1229	2186
36	1260	2147
37	1298	2117
38	1335	2088
39	1369	2053
40	1405	2022
41	1443	1992
42	1484	1967
43	1523	1938
44	1556	1902
45	1594	1872
46	1637	1846
47	1674	1813
48	1713	1783
49	1755	1755
50	1796	1725
51	1833	1692
52	1869	1657
53	1908	1625
54	1944	1590
55	1976	1553
56	2033	1534
57	2075	1502
58	2108	1465
59	2141	1427
60	2174	1390
61	2204	1351
62	2234	1312
63	2269	1276
64	2299	1237
65	2330	1200
66	2362	1163
67	2396	1127
68	2427	1090
69	2454	1051
70	2485	1015
71	2521	980
72	2558	946
73	2588	909
74	2623	874
75	2662	840
76	2702	807
77	2738	772
78	2774	737
79	2811	702
80	2847	667
81	2886	633
82	2930	600
83	2966	565
84	3002	529
85	3037	494
86	3071	458
87	3102	423
88	3136	387
89	3166	351
90	3201	316
91	3237	281
92	3273	246
93	3305	211
94	3337	175
95	3368	140
96	3400	105
97	3436	70
98	3468	35
99	3501	0
